9mbi,gq0q,b0vw,yvlm,hbdi,xk4t,unpx,gmta,gjv2,07n0
-70.0,-75.0,-71.0,-69.0,-74.0,-76.0,-69.0,-76.0,-68.0,-69.0
-81.0,-75.0,-71.0,-73.0,-74.0,-83.0,-72.0,-76.0,-73.0,-77.0
-70.0,-75.0,-70.0,-69.0,-74.0,-73.0,-69.0,-76.0,-74.0,-69.0
-81.0,-75.0,-71.0,-73.0,-74.0,-73.0,-72.0,-81.0,-73.0,-78.0
-81.0,-75.0,-75.0,-72.0,-80.0,-83.0,-69.0,-76.0,-68.0,-69.0
-81.0,-75.0,-70.0,-70.0,-79.0,-76.0,-69.0,-81.0,-68.0,-77.0
-69.0,-75.0,-75.0,-73.0,-80.0,-73.0,-69.0,-76.0,-73.0,-77.0
-81.0,-74.0,-70.0,-68.0,-74.0,-83.0,-69.0,-81.0,-68.0,-77.0
-76.0,-75.0,-70.0,-70.0,-80.0,-83.0,-72.0,-76.0,-72.0,-77.0
-81.0,-75.0,-70.0,-68.0,-74.0,-76.0,-69.0,-75.0,-73.0,-78.0
-80.0,-75.0,-71.0,-68.0,-75.0,-76.0,-72.0,-86.0,-74.0,-77.0
-70.0,-75.0,-75.0,-69.0,-75.0,-83.0,-69.0,-81.0,-73.0,-69.0
-69.0,-75.0,-75.0,-73.0,-92.0,-73.0,-69.0,-81.0,-68.0,-77.0
-76.0,-75.0,-71.0,-69.0,-80.0,-73.0,-72.0,-76.0,-68.0,-69.0
-80.0,-75.0,-71.0,-73.0,-74.0,-76.0,-69.0,-80.0,-73.0,-77.0
-70.0,-75.0,-71.0,-72.0,-80.0,-76.0,-69.0,-86.0,-68.0,-78.0
-69.0,-75.0,-70.0,-69.0,-74.0,-77.0,-69.0,-81.0,-74.0,-69.0
-76.0,-75.0,-70.0,-68.0,-80.0,-76.0,-72.0,-81.0,-73.0,-78.0
-76.0,-75.0,-70.0,-70.0,-80.0,-73.0,-72.0,-81.0,-73.0,-78.0
-70.0,-75.0,-75.0,-70.0,-74.0,-73.0,-69.0,-76.0,-73.0,-76.0
-69.0,-75.0,-75.0,-73.0,-74.0,-76.0,-72.0,-76.0,-68.0,-78.0
-76.0,-75.0,-75.0,-73.0,-92.0,-73.0,-69.0,-76.0,-68.0,-69.0
-76.0,-75.0,-75.0,-70.0,-79.0,-83.0,-69.0,-86.0,-73.0,-78.0
-81.0,-75.0,-70.0,-70.0,-80.0,-76.0,-69.0,-75.0,-67.0,-78.0
-70.0,-75.0,-75.0,-70.0,-80.0,-83.0,-69.0,-81.0,-73.0,-78.0
-81.0,-75.0,-75.0,-73.0,-80.0,-73.0,-72.0,-76.0,-73.0,-68.0
-80.0,-75.0,-71.0,-69.0,-80.0,-73.0,-69.0,-76.0,-68.0,-69.0
-76.0,-75.0,-75.0,-73.0,-74.0,-83.0,-72.0,-85.0,-68.0,-69.0
-76.0,-74.0,-70.0,-73.0,-74.0,-73.0,-69.0,-87.0,-73.0,-78.0
-76.0,-75.0,-75.0,-72.0,-74.0,-83.0,-72.0,-86.0,-73.0,-78.0
-76.0,-75.0,-75.0,-68.0,-92.0,-76.0,-69.0,-86.0,-73.0,-70.0
-80.0,-75.0,-75.0,-68.0,-74.0,-73.0,-72.0,-80.0,-68.0,-77.0
-69.0,-75.0,-75.0,-72.0,-74.0,-73.0,-69.0,-85.0,-73.0,-69.0
-68.0,-75.0,-70.0,-68.0,-80.0,-77.0,-69.0,-87.0,-68.0,-77.0
-69.0,-75.0,-70.0,-73.0,-80.0,-77.0,-69.0,-86.0,-73.0,-69.0
-81.0,-75.0,-71.0,-73.0,-75.0,-73.0,-69.0,-81.0,-68.0,-77.0
-76.0,-75.0,-75.0,-73.0,-80.0,-83.0,-68.0,-75.0,-74.0,-69.0
-69.0,-75.0,-71.0,-68.0,-79.0,-73.0,-73.0,-81.0,-68.0,-77.0
-69.0,-75.0,-75.0,-70.0,-80.0,-83.0,-69.0,-75.0,-73.0,-77.0
-81.0,-75.0,-70.0,-68.0,-92.0,-73.0,-69.0,-76.0,-73.0,-78.0
-69.0,-75.0,-70.0,-70.0,-79.0,-83.0,-69.0,-76.0,-73.0,-78.0
-76.0,-75.0,-75.0,-68.0,-92.0,-73.0,-72.0,-81.0,-73.0,-77.0
-81.0,-75.0,-71.0,-68.0,-74.0,-75.0,-69.0,-81.0,-73.0,-78.0
-81.0,-75.0,-75.0,-70.0,-79.0,-73.0,-69.0,-85.0,-68.0,-77.0
-80.0,-75.0,-71.0,-68.0,-80.0,-73.0,-67.0,-76.0,-68.0,-69.0
-81.0,-75.0,-70.0,-70.0,-80.0,-73.0,-69.0,-76.0,-73.0,-78.0
-69.0,-75.0,-75.0,-70.0,-80.0,-76.0,-69.0,-76.0,-73.0,-77.0
-80.0,-75.0,-70.0,-73.0,-92.0,-73.0,-69.0,-86.0,-73.0,-77.0
-81.0,-75.0,-75.0,-70.0,-80.0,-83.0,-72.0,-81.0,-73.0,-77.0
-76.0,-75.0,-75.0,-70.0,-78.0,-73.0,-72.0,-76.0,-68.0,-78.0
-69.0,-75.0,-71.0,-73.0,-79.0,-73.0,-72.0,-76.0,-73.0,-69.0
-76.0,-75.0,-75.0,-69.0,-79.0,-76.0,-73.0,-87.0,-73.0,-77.0
-69.0,-75.0,-75.0,-69.0,-74.0,-76.0,-69.0,-75.0,-73.0,-78.0
-69.0,-75.0,-70.0,-69.0,-80.0,-83.0,-72.0,-75.0,-68.0,-77.0
-76.0,-75.0,-70.0,-70.0,-92.0,-83.0,-69.0,-85.0,-73.0,-77.0
-70.0,-75.0,-75.0,-73.0,-80.0,-73.0,-69.0,-76.0,-73.0,-78.0
-81.0,-75.0,-75.0,-73.0,-92.0,-83.0,-69.0,-80.0,-68.0,-78.0
-76.0,-75.0,-71.0,-68.0,-74.0,-73.0,-72.0,-76.0,-73.0,-77.0
-76.0,-75.0,-71.0,-70.0,-80.0,-73.0,-69.0,-86.0,-73.0,-69.0
-69.0,-75.0,-70.0,-69.0,-74.0,-83.0,-69.0,-86.0,-73.0,-78.0
-69.0,-75.0,-70.0,-69.0,-74.0,-83.0,-69.0,-81.0,-74.0,-77.0
-76.0,-75.0,-70.0,-70.0,-80.0,-83.0,-73.0,-86.0,-73.0,-77.0
-70.0,-75.0,-75.0,-73.0,-79.0,-76.0,-73.0,-81.0,-68.0,-78.0
-76.0,-75.0,-70.0,-69.0,-80.0,-73.0,-72.0,-81.0,-68.0,-78.0
-69.0,-75.0,-75.0,-69.0,-74.0,-83.0,-69.0,-81.0,-73.0,-77.0
-76.0,-75.0,-71.0,-70.0,-80.0,-73.0,-69.0,-76.0,-68.0,-69.0
-69.0,-75.0,-70.0,-69.0,-80.0,-83.0,-72.0,-76.0,-68.0,-78.0
-69.0,-75.0,-75.0,-71.0,-80.0,-73.0,-69.0,-81.0,-73.0,-69.0
-69.0,-75.0,-71.0,-70.0,-80.0,-73.0,-69.0,-87.0,-68.0,-69.0
-70.0,-75.0,-69.0,-68.0,-91.0,-83.0,-69.0,-75.0,-73.0,-69.0
-69.0,-75.0,-69.0,-69.0,-74.0,-83.0,-69.0,-86.0,-73.0,-78.0
-76.0,-75.0,-70.0,-73.0,-74.0,-83.0,-69.0,-75.0,-74.0,-77.0
-70.0,-75.0,-70.0,-69.0,-74.0,-76.0,-69.0,-86.0,-72.0,-77.0
-76.0,-75.0,-75.0,-73.0,-91.0,-76.0,-72.0,-76.0,-68.0,-78.0
-81.0,-75.0,-71.0,-70.0,-74.0,-83.0,-69.0,-81.0,-73.0,-78.0
-69.0,-75.0,-75.0,-69.0,-80.0,-83.0,-72.0,-76.0,-73.0,-69.0
-81.0,-75.0,-70.0,-73.0,-80.0,-73.0,-69.0,-81.0,-74.0,-77.0
-76.0,-75.0,-70.0,-70.0,-92.0,-83.0,-72.0,-86.0,-74.0,-69.0
-81.0,-75.0,-70.0,-73.0,-75.0,-73.0,-69.0,-76.0,-73.0,-77.0
-79.0,-75.0,-71.0,-68.0,-92.0,-83.0,-72.0,-81.0,-73.0,-78.0
-76.0,-75.0,-71.0,-73.0,-78.0,-73.0,-69.0,-86.0,-68.0,-77.0
-69.0,-75.0,-71.0,-69.0,-74.0,-77.0,-69.0,-81.0,-73.0,-78.0
-69.0,-75.0,-71.0,-69.0,-80.0,-83.0,-69.0,-81.0,-73.0,-69.0
-76.0,-75.0,-71.0,-68.0,-74.0,-73.0,-69.0,-80.0,-68.0,-77.0
-70.0,-75.0,-70.0,-72.0,-80.0,-83.0,-72.0,-87.0,-73.0,-77.0
-76.0,-75.0,-71.0,-73.0,-74.0,-73.0,-72.0,-81.0,-68.0,-78.0
-76.0,-75.0,-70.0,-69.0,-75.0,-83.0,-69.0,-75.0,-73.0,-77.0
-69.0,-75.0,-71.0,-69.0,-91.0,-73.0,-69.0,-87.0,-65.0,-78.0
-76.0,-75.0,-70.0,-73.0,-74.0,-76.0,-69.0,-76.0,-73.0,-69.0
-80.0,-75.0,-69.0,-69.0,-75.0,-76.0,-69.0,-76.0,-73.0,-69.0
-81.0,-75.0,-70.0,-70.0,-80.0,-76.0,-69.0,-81.0,-68.0,-69.0
-76.0,-75.0,-75.0,-68.0,-79.0,-73.0,-72.0,-81.0,-73.0,-69.0
-81.0,-75.0,-70.0,-69.0,-75.0,-73.0,-69.0,-76.0,-68.0,-77.0
-76.0,-75.0,-70.0,-69.0,-74.0,-83.0,-69.0,-81.0,-73.0,-78.0
-76.0,-75.0,-71.0,-68.0,-92.0,-73.0,-72.0,-87.0,-68.0,-69.0
-76.0,-75.0,-70.0,-73.0,-74.0,-83.0,-69.0,-76.0,-73.0,-78.0
-69.0,-75.0,-75.0,-69.0,-74.0,-83.0,-69.0,-86.0,-73.0,-69.0
-80.0,-75.0,-71.0,-73.0,-74.0,-83.0,-72.0,-81.0,-68.0,-77.0
-76.0,-75.0,-70.0,-69.0,-91.0,-73.0,-72.0,-87.0,-68.0,-78.0
-69.0,-75.0,-71.0,-72.0,-74.0,-76.0,-69.0,-76.0,-68.0,-69.0
-76.0,-75.0,-71.0,-73.0,-91.0,-83.0,-69.0,-86.0,-68.0,-77.0
-81.0,-75.0,-75.0,-69.0,-74.0,-77.0,-69.0,-80.0,-68.0,-78.0
-76.0,-75.0,-71.0,-69.0,-74.0,-73.0,-69.0,-76.0,-73.0,-78.0
-81.0,-75.0,-71.0,-73.0,-80.0,-76.0,-69.0,-76.0,-73.0,-77.0
-76.0,-75.0,-70.0,-70.0,-79.0,-73.0,-69.0,-81.0,-73.0,-69.0
-81.0,-75.0,-70.0,-73.0,-91.0,-83.0,-69.0,-76.0,-68.0,-69.0
-69.0,-75.0,-70.0,-72.0,-91.0,-77.0,-69.0,-81.0,-68.0,-77.0
-70.0,-75.0,-71.0,-69.0,-74.0,-76.0,-72.0,-86.0,-73.0,-69.0
-76.0,-75.0,-71.0,-73.0,-80.0,-77.0,-72.0,-87.0,-68.0,-69.0
-76.0,-75.0,-70.0,-69.0,-74.0,-73.0,-72.0,-81.0,-73.0,-77.0
-69.0,-75.0,-75.0,-73.0,-79.0,-83.0,-69.0,-86.0,-73.0,-78.0
-76.0,-75.0,-75.0,-73.0,-80.0,-83.0,-69.0,-81.0,-74.0,-77.0
-76.0,-75.0,-70.0,-70.0,-80.0,-83.0,-72.0,-81.0,-73.0,-78.0
-69.0,-75.0,-70.0,-69.0,-74.0,-73.0,-69.0,-76.0,-68.0,-78.0
-69.0,-75.0,-70.0,-70.0,-91.0,-76.0,-72.0,-85.0,-68.0,-78.0
-81.0,-75.0,-70.0,-73.0,-80.0,-83.0,-69.0,-75.0,-68.0,-69.0
-76.0,-75.0,-70.0,-73.0,-80.0,-77.0,-69.0,-81.0,-68.0,-69.0
-69.0,-75.0,-71.0,-69.0,-92.0,-73.0,-70.0,-76.0,-73.0,-69.0
-80.0,-75.0,-75.0,-72.0,-80.0,-83.0,-69.0,-76.0,-68.0,-69.0
-76.0,-75.0,-71.0,-73.0,-74.0,-77.0,-69.0,-80.0,-73.0,-78.0
-69.0,-75.0,-74.0,-70.0,-74.0,-76.0,-69.0,-81.0,-68.0,-69.0
-76.0,-75.0,-71.0,-73.0,-92.0,-73.0,-69.0,-86.0,-73.0,-78.0
-76.0,-75.0,-70.0,-73.0,-80.0,-73.0,-69.0,-76.0,-72.0,-77.0
-70.0,-75.0,-70.0,-69.0,-74.0,-77.0,-72.0,-76.0,-68.0,-78.0
-76.0,-75.0,-70.0,-73.0,-80.0,-73.0,-69.0,-81.0,-73.0,-69.0
-76.0,-75.0,-71.0,-69.0,-74.0,-76.0,-73.0,-76.0,-68.0,-76.0
-69.0,-75.0,-70.0,-70.0,-74.0,-76.0,-72.0,-81.0,-73.0,-69.0
-76.0,-75.0,-70.0,-69.0,-91.0,-73.0,-72.0,-86.0,-68.0,-76.0
-69.0,-75.0,-75.0,-70.0,-75.0,-73.0,-69.0,-76.0,-68.0,-69.0
-69.0,-75.0,-70.0,-71.0,-74.0,-76.0,-69.0,-87.0,-73.0,-78.0
-76.0,-75.0,-75.0,-69.0,-74.0,-83.0,-69.0,-81.0,-68.0,-77.0
-69.0,-75.0,-70.0,-73.0,-80.0,-77.0,-69.0,-81.0,-73.0,-78.0
-76.0,-75.0,-71.0,-69.0,-74.0,-83.0,-69.0,-76.0,-72.0,-76.0
-76.0,-75.0,-70.0,-73.0,-92.0,-83.0,-69.0,-81.0,-68.0,-78.0
-69.0,-75.0,-71.0,-70.0,-74.0,-76.0,-69.0,-81.0,-73.0,-77.0
-76.0,-75.0,-75.0,-69.0,-75.0,-73.0,-69.0,-81.0,-68.0,-77.0
-81.0,-74.0,-75.0,-72.0,-74.0,-83.0,-69.0,-76.0,-73.0,-77.0
-70.0,-75.0,-70.0,-73.0,-92.0,-74.0,-69.0,-81.0,-73.0,-77.0
-80.0,-75.0,-71.0,-69.0,-80.0,-75.0,-69.0,-76.0,-68.0,-69.0
-69.0,-75.0,-70.0,-69.0,-91.0,-83.0,-72.0,-76.0,-73.0,-78.0
-69.0,-75.0,-75.0,-73.0,-80.0,-77.0,-72.0,-81.0,-73.0,-77.0
-80.0,-75.0,-71.0,-69.0,-92.0,-76.0,-69.0,-76.0,-68.0,-77.0
-80.0,-75.0,-70.0,-69.0,-90.0,-73.0,-69.0,-76.0,-68.0,-77.0
-69.0,-74.0,-75.0,-70.0,-91.0,-83.0,-69.0,-88.0,-73.0,-77.0
-76.0,-75.0,-70.0,-72.0,-80.0,-83.0,-69.0,-81.0,-68.0,-69.0
-70.0,-75.0,-70.0,-70.0,-80.0,-76.0,-73.0,-87.0,-73.0,-78.0
-70.0,-75.0,-70.0,-70.0,-92.0,-73.0,-69.0,-81.0,-73.0,-78.0
-80.0,-75.0,-75.0,-72.0,-75.0,-76.0,-72.0,-81.0,-73.0,-77.0
-81.0,-75.0,-70.0,-70.0,-74.0,-76.0,-72.0,-77.0,-73.0,-78.0
-69.0,-75.0,-70.0,-69.0,-92.0,-77.0,-69.0,-87.0,-68.0,-69.0
-70.0,-75.0,-69.0,-70.0,-91.0,-83.0,-69.0,-81.0,-68.0,-78.0
-80.0,-75.0,-70.0,-69.0,-75.0,-76.0,-69.0,-81.0,-73.0,-78.0
-76.0,-75.0,-71.0,-70.0,-92.0,-83.0,-69.0,-81.0,-73.0,-77.0
-69.0,-75.0,-75.0,-73.0,-80.0,-76.0,-69.0,-81.0,-68.0,-78.0
-76.0,-75.0,-71.0,-69.0,-80.0,-83.0,-69.0,-86.0,-73.0,-77.0
-76.0,-75.0,-71.0,-69.0,-92.0,-83.0,-72.0,-81.0,-73.0,-69.0
-69.0,-75.0,-75.0,-69.0,-74.0,-73.0,-72.0,-81.0,-68.0,-69.0
-81.0,-75.0,-71.0,-69.0,-92.0,-76.0,-69.0,-81.0,-73.0,-77.0
-76.0,-75.0,-70.0,-73.0,-75.0,-76.0,-69.0,-87.0,-73.0,-77.0
-69.0,-75.0,-70.0,-69.0,-75.0,-74.0,-69.0,-76.0,-68.0,-77.0
-70.0,-75.0,-71.0,-73.0,-92.0,-76.0,-72.0,-76.0,-73.0,-69.0
-76.0,-76.0,-75.0,-70.0,-80.0,-77.0,-69.0,-76.0,-73.0,-69.0
-76.0,-75.0,-70.0,-70.0,-80.0,-83.0,-69.0,-76.0,-68.0,-77.0
-69.0,-75.0,-70.0,-69.0,-80.0,-76.0,-69.0,-86.0,-73.0,-69.0
-76.0,-75.0,-70.0,-70.0,-80.0,-76.0,-72.0,-76.0,-68.0,-77.0
-69.0,-75.0,-71.0,-70.0,-92.0,-83.0,-69.0,-76.0,-73.0,-77.0
-81.0,-75.0,-71.0,-71.0,-92.0,-83.0,-70.0,-87.0,-73.0,-77.0
-76.0,-75.0,-70.0,-69.0,-91.0,-73.0,-69.0,-81.0,-68.0,-69.0
-79.0,-75.0,-70.0,-72.0,-74.0,-83.0,-69.0,-81.0,-73.0,-78.0
-81.0,-75.0,-71.0,-73.0,-75.0,-73.0,-72.0,-75.0,-73.0,-78.0
-76.0,-75.0,-75.0,-70.0,-75.0,-73.0,-69.0,-81.0,-73.0,-77.0
-81.0,-75.0,-70.0,-72.0,-80.0,-83.0,-69.0,-86.0,-73.0,-77.0
-69.0,-75.0,-75.0,-70.0,-92.0,-75.0,-69.0,-81.0,-68.0,-77.0
-81.0,-75.0,-71.0,-68.0,-74.0,-83.0,-69.0,-76.0,-73.0,-69.0
-80.0,-75.0,-71.0,-69.0,-80.0,-83.0,-72.0,-81.0,-73.0,-69.0
-69.0,-75.0,-75.0,-69.0,-92.0,-72.0,-69.0,-76.0,-68.0,-78.0
-80.0,-75.0,-75.0,-73.0,-74.0,-73.0,-72.0,-76.0,-73.0,-77.0
-69.0,-75.0,-70.0,-70.0,-74.0,-76.0,-72.0,-81.0,-74.0,-69.0
-76.0,-75.0,-70.0,-70.0,-92.0,-73.0,-72.0,-81.0,-68.0,-77.0
-81.0,-75.0,-71.0,-70.0,-80.0,-83.0,-69.0,-81.0,-68.0,-69.0
-70.0,-75.0,-71.0,-70.0,-74.0,-73.0,-72.0,-81.0,-73.0,-78.0
-70.0,-75.0,-71.0,-70.0,-80.0,-73.0,-73.0,-87.0,-68.0,-77.0
-76.0,-75.0,-71.0,-69.0,-74.0,-84.0,-69.0,-87.0,-73.0,-69.0
-70.0,-75.0,-75.0,-70.0,-92.0,-73.0,-69.0,-81.0,-73.0,-77.0
-81.0,-75.0,-71.0,-73.0,-74.0,-76.0,-72.0,-76.0,-74.0,-77.0
-80.0,-75.0,-70.0,-72.0,-91.0,-83.0,-69.0,-81.0,-68.0,-70.0
-80.0,-76.0,-70.0,-73.0,-75.0,-73.0,-73.0,-80.0,-68.0,-77.0
-70.0,-76.0,-75.0,-71.0,-92.0,-73.0,-72.0,-81.0,-74.0,-77.0
-81.0,-75.0,-70.0,-70.0,-74.0,-73.0,-69.0,-76.0,-73.0,-78.0
-80.0,-75.0,-70.0,-73.0,-80.0,-83.0,-69.0,-81.0,-73.0,-78.0
-70.0,-75.0,-71.0,-70.0,-91.0,-83.0,-69.0,-80.0,-73.0,-69.0
-76.0,-75.0,-70.0,-70.0,-79.0,-83.0,-69.0,-86.0,-73.0,-69.0
-81.0,-75.0,-70.0,-69.0,-74.0,-73.0,-69.0,-81.0,-73.0,-78.0
-76.0,-75.0,-75.0,-69.0,-92.0,-73.0,-69.0,-76.0,-68.0,-69.0
-70.0,-75.0,-70.0,-73.0,-74.0,-83.0,-72.0,-76.0,-68.0,-78.0
-76.0,-75.0,-70.0,-70.0,-75.0,-77.0,-72.0,-76.0,-73.0,-69.0
-69.0,-75.0,-75.0,-70.0,-80.0,-77.0,-69.0,-80.0,-68.0,-78.0
-76.0,-75.0,-71.0,-72.0,-81.0,-83.0,-73.0,-86.0,-73.0,-69.0
-81.0,-75.0,-70.0,-69.0,-74.0,-83.0,-72.0,-81.0,-74.0,-77.0
-69.0,-75.0,-75.0,-70.0,-80.0,-84.0,-69.0,-81.0,-73.0,-77.0
-70.0,-75.0,-71.0,-70.0,-92.0,-76.0,-69.0,-86.0,-68.0,-77.0
-76.0,-75.0,-75.0,-68.0,-80.0,-83.0,-69.0,-81.0,-73.0,-69.0
-69.0,-75.0,-70.0,-70.0,-74.0,-77.0,-69.0,-86.0,-68.0,-69.0
-69.0,-74.0,-71.0,-69.0,-91.0,-73.0,-72.0,-85.0,-73.0,-77.0
-81.0,-75.0,-70.0,-69.0,-75.0,-83.0,-72.0,-76.0,-72.0,-78.0
-69.0,-75.0,-70.0,-70.0,-75.0,-76.0,-69.0,-81.0,-68.0,-78.0
-76.0,-75.0,-71.0,-73.0,-92.0,-84.0,-69.0,-81.0,-73.0,-77.0
-69.0,-75.0,-75.0,-70.0,-74.0,-73.0,-69.0,-76.0,-68.0,-78.0
-69.0,-75.0,-71.0,-70.0,-92.0,-73.0,-69.0,-76.0,-73.0,-78.0
-76.0,-75.0,-71.0,-69.0,-75.0,-73.0,-69.0,-81.0,-68.0,-77.0
-76.0,-75.0,-75.0,-72.0,-75.0,-83.0,-69.0,-81.0,-68.0,-69.0
-80.0,-76.0,-71.0,-69.0,-80.0,-77.0,-73.0,-87.0,-73.0,-77.0
-69.0,-75.0,-71.0,-70.0,-75.0,-73.0,-69.0,-81.0,-68.0,-69.0
-70.0,-75.0,-71.0,-73.0,-80.0,-83.0,-69.0,-81.0,-73.0,-77.0
-80.0,-75.0,-70.0,-69.0,-91.0,-83.0,-69.0,-76.0,-68.0,-69.0
-76.0,-75.0,-75.0,-73.0,-80.0,-83.0,-69.0,-76.0,-73.0,-77.0
-76.0,-75.0,-70.0,-70.0,-80.0,-73.0,-72.0,-81.0,-68.0,-69.0
-76.0,-75.0,-70.0,-72.0,-74.0,-83.0,-69.0,-76.0,-68.0,-77.0
-69.0,-75.0,-75.0,-70.0,-80.0,-73.0,-69.0,-81.0,-68.0,-78.0
-70.0,-75.0,-75.0,-73.0,-74.0,-73.0,-69.0,-81.0,-73.0,-78.0
-76.0,-75.0,-71.0,-70.0,-92.0,-83.0,-69.0,-76.0,-68.0,-69.0
-69.0,-75.0,-70.0,-73.0,-91.0,-76.0,-72.0,-81.0,-73.0,-77.0
-76.0,-76.0,-75.0,-69.0,-75.0,-77.0,-69.0,-81.0,-73.0,-77.0
-69.0,-75.0,-70.0,-73.0,-80.0,-76.0,-69.0,-81.0,-68.0,-68.0
-76.0,-75.0,-71.0,-69.0,-80.0,-73.0,-72.0,-87.0,-68.0,-76.0
-76.0,-75.0,-75.0,-70.0,-80.0,-73.0,-69.0,-81.0,-73.0,-77.0
-76.0,-75.0,-70.0,-68.0,-92.0,-76.0,-69.0,-76.0,-73.0,-78.0
-76.0,-75.0,-75.0,-69.0,-75.0,-83.0,-69.0,-81.0,-73.0,-69.0
